Family,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29
Family19,0.35758406204482873,0.1334430966769391,0.18170314103518312,0.32523420497167765,0.018260828145160835,0.07265599025411403,0.9100522894742893,0.20198470743128083,0.09076775459344844,0.14673624245239703,0.08909619538813252,0.2627859381706326,0.09628015570152348,0.2628332081489554,0.2014659254022102,0.5991615156199114,0.21185177225381005,0.15496232810106558,0.6991508383763957,0.2278704813493969,0.0296192875231502,0.5507338160348411,0.013632497828400258,0.3119844240268703,0.5523538464415071,0.2859297370680392,0.2497229070003937,0.2105459086773983,0.28290304492672397,0.14620110961583452
Family23,0.29494424896849825,0.11030105553097432,0.1919911728703955,0.29053316508009874,0.2197348681582406,0.1873263529393415,0.5401655194259979,0.15475261956903372,0.10004865107763887,0.42136795929094717,0.2638773145506988,0.25235631593656277,0.8671281867572802,0.04611243888030684,0.2598896534646221,0.19593484524535543,0.23045849966677648,0.10831638779534998,0.4449038315259496,0.023576844245901302,0.048100478495099575,0.961941985078369,0.27167413360559833,0.02153791461073144,0.839490691106561,0.1614326168186838,0.13926956101947022,0.8350082614741223,0.026395865394281254,0.07737133018760615
Family24,0.26813560917465684,0.2228294988853506,0.1188885736290843,0.0061701480715847246,0.02601459065753257,0.08551712857646802,0.10396756793796685,0.19468317885086503,0.1397280035474565,0.1299224024377092,0.049859156677815784,0.24917060906433017,0.03747389757138703,0.10708848473217443,0.0012239118977146097,0.09502642716665555,0.1151840200709429,0.19120611427862108,0.027147079006848207,0.14187140167648635,0.23262950718798228,0.13498708404740156,0.1479341296524773,0.06938715795477375,0.26099139799910365,0.24616741688507518,0.0023311843162597823,0.13653284767606533,0.15016955828411657,0.08914005209893572
Family29,0.7994367031079487,0.2686309631225354,0.2245809856750993,0.07917894858582253,0.059772826086785434,0.1930142988541754,0.5287312601228281,0.26221329324310033,0.22473361695071106,0.1547080610192928,0.2448451383999158,0.2025312912958376,0.5594435892353082,0.04178215111626823,0.22517028095485747,0.410897241498016,0.09723083360940488,0.1332298456045219,0.36165969690795785,0.05021840887452637,0.17158451905090133,0.5013826021312706,0.13545745684918217,0.29273649420261444,0.7067562997443475,0.2915583855628811,0.2395830269974005,0.6756727599350888,0.15268803816578383,0.19994559927054903
Family30,0.3130012784104378,0.32695928344552927,0.18755455220612172,0.07725745353133562,0.2803860402029755,0.04099071834847597,0.1493649951032941,0.31406191863495264,0.16066987299653582,0.04214175108550494,0.04115100780697112,0.3126712399981527,0.2593427783327725,0.16169619189040121,0.2858324227378718,0.21294878952778545,0.25389654874343154,0.031538605640110386,0.08866651267995551,0.03288659986312433,0.1363048992029562,0.27556825306115423,0.09068447434371207,0.11557473679576702,0.37415112679724793,0.13087686444563484,0.008404969207419474,0.08573309405735341,0.22167138012592782,0.2557514085579198
Family34,0.4800473596992589,0.19787898584646638,0.18051901802281053,0.1398791309098324,0.054687145041730924,0.15033018896840059,0.352136454081906,0.23171933985399926,0.2646465399672355,0.19334887860407723,0.03613489943117824,0.11003327872579476,0.04505090191841543,0.28853403670182337,0.12493582540114523,0.3685705836046189,0.3324994745743041,0.28048325682356195,0.39910893152158006,0.2251534664390986,0.13968399575520174,0.1954415491919232,0.29349031538062564,0.23966519503353068,0.23431803470719775,0.1161255130779935,0.3119988357433907,0.16309067973931957,0.32529163275624307,0.1274085282954163
Family35,0.59491938170527,0.2643978781726906,0.29215505192827723,0.04219217654121099,0.21749011620182276,0.06956170965167863,0.2971157104704536,0.228394615625235,0.06882339614905797,0.7474581599795835,0.21872153584148782,0.08500025933385051,0.9271426396390752,0.17065866348729672,0.1677916068030176,0.7554547092423248,0.11436439148222721,0.05978368970991469,0.5841768791235004,0.08143552149320388,0.12217944014827686,0.316033131840046,0.23791529442360906,0.23059698008811533,0.24564138033876404,0.19039761316357603,0.12499796339407838,0.24312346520825523,0.28549382897684544,0.32225085017680904
Family37,0.8644324747500842,0.25646331149399915,0.16118278930806498,0.1643842886453818,0.31928758290733034,0.045544935203103466,0.3626472043731497,0.25565270823383607,0.2739762102267213,0.5897416054760806,0.07593108978750436,0.17871620126613455,0.19744863610209495,0.05246515949865038,0.17375382247677904,0.27209198126666434,0.11315684548705977,0.13534592477214824,0.5988520271542759,0.21113470841444903,0.22305386729599944,0.6014077953113872,0.2969951966445271,0.17280590223780976,0.08707004995484535,0.08527760964214304,0.2709393234155522,0.09737397438780182,0.2778063299797188,0.21300344489415846
Family38,0.0847339250344451,0.03163470252231219,0.008804735902763206,0.08905223987435124,0.2254195227346616,0.2424289923109513,0.1278104264316976,0.12377466303407343,0.17600886081284073,0.2112702494112621,0.21731950710150774,0.24934424992248003,0.36994044847263446,0.22957599521656735,0.10708582198815604,0.2759130016800636,0.09237499125715605,0.11991298480194428,0.3664868867821855,0.2770917140354207,0.09800542618655284,0.4549060837724151,0.09269217130594565,0.31589412320535204,0.37886984780688193,0.2730950151148324,0.23695746384393282,0.44553172203067043,0.27795547511359936,0.024064558948800847
Family39,0.49424581015478886,0.18498023943288802,0.197293422536752,0.41799876876085607,0.29561686531916576,0.23542537638855188,0.5036258662148332,0.08595923908010683,0.24648148188224273,0.6389795180266391,0.03533848085314987,0.18096901097934856,0.41901206627513465,0.15340413393697513,0.08376964392299231,0.11181287777065052,0.2824188928365573,0.18529690139228963,0.6177556585541318,0.13156889110683714,0.29526933132837757,0.5139952581221017,0.3071855934895907,0.1960630899469331,0.6616415449813478,0.22872139158139324,0.07549002586794533,0.0051107864429189576,0.04533571892638092,0.12269791933536374
Family41,0.7714239574694832,0.050386988463828865,0.01925800455726323,0.3376222101801415,0.017436505132296037,0.22059008417408468,0.9532268761333865,0.006407810305957755,0.23302966115632315,0.9553910330189691,0.2826176927120308,0.2601448153673526,0.9471711124516389,0.07431383448612279,0.299508185567113,0.9068223928352491,0.1310248132561693,0.33240208406543165,0.8903825960280531,0.2833835990309234,0.2612956947265081,0.7356672062359201,0.2786945377973225,0.26470831435206743,0.4440654246209841,0.07697481666348005,0.28964963660020615,0.31344512624015697,0.10399576397847121,0.30060081336259953
Family43,0.3472050905125924,0.16230943741182532,0.2059571774474006,0.49037929472329,0.16288925508623342,0.21590052555005743,0.623385896208357,0.1586306585641825,0.0987223185313757,0.26688466131152255,0.06505915289962165,0.0491136371706394,0.36327045160516724,0.19570954519127368,0.07749539515245023,0.30768956086179267,0.07307304465079212,0.10623896539553612,0.850250330205372,0.027666272944941173,0.25245195975294177,0.855798800765654,0.2211044976930814,0.21209676797564,0.5683460017229967,0.27470679263627235,0.23814347350086087,0.8593993841354391,0.029586573871106487,0.2429070553985526
Family44,0.31763944130473354,0.32875534258179895,0.13017445443715367,0.44210188316334764,0.05999842041781678,0.14039742530659297,0.18407348855426958,0.21105758232244154,0.3259872441837667,0.4582731192015184,0.126634646503788,0.051916523938635294,0.23746269590800623,0.026119220400074788,0.06459979284336866,0.40673913144300544,0.05650287170302848,0.27726275989494414,0.37488219987177557,0.26838863067276314,0.2701440889183621,0.10002069466387714,0.019691894970258323,0.10872599168687609,0.17719414784406645,0.12039837282868693,0.14952517890687914,0.03715609660256369,0.23400164618552735,0.2515479329918486
Family46,0.4068641988874802,0.28429199022281676,0.08274005344344519,0.19976433026614387,0.2179117252389634,0.26922024452552584,0.03381482256745594,0.20893836283574116,0.2226260900144157,0.49986279647471477,0.1137316457232661,0.10271458567353542,0.122644324686981,0.21929114825961304,0.2270596776277417,0.1943409101872881,0.04681337554252648,0.0767148336471651,0.33290589086826244,0.06325840843761354,0.10186913654312561,0.2308030191572431,0.25687233793358677,0.2588433010326439,0.13524062660743763,0.1902700634337099,0.23076453943664255,0.00972389125660833,0.23939658706384695,0.23371041369714227
Family48,0.11100069240480698,0.25042676070671227,0.06366036230507914,0.17671703630727476,0.04221853628095636,0.1857293962536709,0.2126277802938798,0.23394781430407652,0.2499160355707066,0.34766427483452267,0.03227858229202415,0.1870745960024526,0.4052556876397095,0.1667337137285881,0.3035006990174596,0.4330888546283797,0.11688301057494362,0.31712008891045945,0.2650734472110383,0.01900855930933369,0.2708943794301908,0.1582929612295867,0.051008177575640766,0.11464298968504356,0.0018684738451475447,0.0115489715453303,0.12066052242692797,0.4272493100594769,0.11101603583170432,0.009353137159582229
Family49,0.6472607915034397,0.19312807807637386,0.19733046673886842,0.059476112858313224,0.05093776779082193,0.25579670680162225,0.3279506755989674,0.3025183544874735,0.007553509394997031,0.9637357957693574,0.0013962568567244722,0.12883528780193476,0.3899600722987302,0.0016014470541231656,0.026499993256069738,0.25869322621950586,0.16700329429570104,0.18157615906545344,0.6553213146915308,0.19931149239339607,0.02987145226982076,0.7850322370976441,0.10767622368135872,0.08570617999020862,0.8062675120401812,0.30391588284527354,0.31868282958358934,0.047445069723747846,0.08990198306097412,0.27101555258293536
